symbol	date	close
DCL	11-Aug-18	15.52
DCL	11-Sep-18	15.44
DCL	11-Dec-18	15.43
DCL	12-Mar-18	13
DCL	12-Apr-18	13.51
DCL	12-May-18	13.16
DCL	12-Jun-18	13.04
DCL	12-Jul-18	13.31
DCL	12-Oct-18	13.48
DCL	12-Nov-18	13.22
DCL	12-Dec-18	12.89
DCL	01-Jan-19	12.23
DCL	01-Feb-19	11.83
DCL	01-Mar-19	11.62
DCL	01-Apr-19	11.73
DCL	01-Jul-19	12.28
DCL	01-Aug-19	12.94
DCL	01-Sep-19	13.31
DCL	01-Oct-19	12.93
DCL	01-Nov-19	12.78
DCL	02-Jan-19	14.29
DCL	02-Apr-19	14.67
DCL	02-Jun-19	14.34
DCL	02-Jul-19	13.91
DCL	02-Aug-19	13.86
DCL	02-Nov-19	13.5
DCL	02-Dec-19	13.75
DCL	03-Jan-19	11.87
DCL	03-Apr-19	11.97
DCL	03-May-19	11.94
DCL	03-Jun-19	12.12
DCL	03-Jul-19	11.99
DCL	03-Aug-19	11.67
DCL	03-Nov-19	12.67
DCL	03-Dec-19	13.01
DCL	04-Jan-19	11.26
DCL	04-Feb-19	10.98
DCL	04-Mar-19	11.19
DCL	04-Apr-19	10.93
DCL	04-May-19	10.82
DCL	04-Aug-19	10.01
DCL	04-Sep-19	10.19
DCL	04-Oct-19	9.44
DCL	04-Nov-19	9.09
DCL	04-Dec-19	10.07
DCL	05-Feb-19	9.97
DCL	05-Mar-19	9.75
DCL	05-Jun-19	9.44
DCL	05-Jul-19	9.42
DCL	05-Aug-19	8.92
DCL	05-Sep-19	9.07
DCL	05-Oct-19	8.84
DCL	06-Mar-19	8.29
DCL	06-Oct-19	7.5
DCL	06-Nov-19	7.72
DCL	06-Dec-19	8.28
DCL	07-Jan-19	7.73
DCL	07-Feb-19	7.95
DCL	07-Mar-19	8.39
DCL	07-Apr-19	8.03
DCL	07-May-19	7.9
DCL	07-Aug-19	7.86
DCL	07-Sep-19	7.83
DCL	07-Oct-19	7.69
DCL	07-Nov-19	7.72
DCL	07-Dec-19	7.64
DCL	08-Jan-19	6.36
DCL	08-Feb-19	6.31
DCL	08-May-19	6.11
DCL	08-Jun-19	6.14
DCL	08-Jul-19	6.01
DCL	08-Aug-19	5.86
DCL	08-Sep-19	5.98
DCL	09-Feb-19	6.17
DCL	09-Mar-19	5.96
DCL	09-Apr-19	6.27
DCL	09-May-19	6.05
DCL	09-Jun-19	6.02
DCL	09-Nov-19	5.89
DCL	09-Dec-19	6.12
DCL	10-Jan-19	6.09
DCL	10-Feb-19	6.25
DCL	10-Mar-19	6.64
DCL	10-Apr-19	6.64
DCL	10-Jul-19	7.12
DCL	10-Aug-19	6.8
DCL	10-Sep-19	7.8
