date	close
02-Jan-19	64.44
02-Jan-19	68.98
02-Jan-19	87.2
02-Jan-19	89.81
02-Jan-19	93.12
02-Jan-19	242.04
02-Jan-19	335.89
03-Jan-19	11.87
03-Jan-19	14.5
03-Jan-19	37.09
03-Jan-19	51.11
12-Feb-19	232.06
12-Feb-19	340.44
01-Mar-19	11.62
01-Mar-19	17.72
01-Mar-19	38.88
01-Mar-19	63
01-Mar-19	72.02
01-Mar-19	77.59
01-Mar-19	82.31
01-Mar-19	86.24
01-Mar-19	176.97
01-Mar-19	314.99
04-Mar-19	11.19
04-Mar-19	12.95
04-Mar-19	34.02
04-Mar-19	46
04-Mar-19	60.96
04-Mar-19	65.49
04-Mar-19	75.56
04-Mar-19	84.56
04-Mar-19	219.52
04-Mar-19	321.86
05-Mar-19	9.75
05-Mar-19	13.27
05-Mar-19	28.67
05-Mar-19	34.23
05-Mar-19	43.69
05-Mar-19	60.06
05-Mar-19	71.9
05-Mar-19	72
05-Mar-19	190.85
05-Mar-19	285.64
06-Mar-19	8.29
06-Mar-19	13.68
06-Mar-19	27.78
06-Mar-19	32.26
06-Mar-19	35
06-Mar-19	50.62
06-Mar-19	57.48
06-Mar-19	78.91
06-Mar-19	184.14
06-Mar-19	272.54
07-Mar-19	8.39
07-Mar-19	13.9
07-Mar-19	27.41
07-Mar-19	29.59
07-Mar-19	33.61
07-Mar-19	57.36
07-Mar-19	60.12
07-Mar-19	79.88
07-Mar-19	158.21
07-Mar-19	273.4
09-Mar-19	5.96
09-Mar-19	12.55
09-Mar-19	17.08
09-Mar-19	21.98
09-Mar-19	26.94
09-Mar-19	46
09-Mar-19	46.9
09-Mar-19	64.81
09-Mar-19	129.3
09-Mar-19	255.07
10-Mar-19	6.64
10-Mar-19	13.81
10-Mar-19	25.81
10-Mar-19	26.35
10-Mar-19	32.6
10-Mar-19	55.94
10-Mar-19	60.99
10-Mar-19	72.14
10-Mar-19	140.67
10-Mar-19	271.76
12-Mar-19	8.61
12-Mar-19	14.09
12-Mar-19	33.12
12-Mar-19	37.92
12-Mar-19	50.52
12-Mar-19	73.18
12-Mar-19	79.34
12-Mar-19	92.38
12-Mar-19	220.58
12-Mar-19	324.37
01-Apr-19	11.73
01-Apr-19	17.73
01-Apr-19	38.88
01-Apr-19	63.8
01-Apr-19	71.75
01-Apr-19	78
01-Apr-19	82.2
01-Apr-19	85.6
01-Apr-19	176.68
01-Apr-19	313.56
02-Apr-19	14.67
02-Apr-19	16.2
02-Apr-19	40.03
02-Apr-19	63.74
02-Apr-19	72.42
02-Apr-19	87.75
02-Apr-19	91.56
02-Apr-19	94.44
02-Apr-19	239.8
02-Apr-19	336.91
03-Apr-19	11.97
03-Apr-19	36.99
03-Apr-19	50.24
03-Apr-19	69.35
03-Apr-19	75.88
03-Apr-19	87.29
03-Apr-19	91.77
03-Apr-19	238.88
03-Apr-19	327.86
04-Apr-19	10.93
04-Apr-19	12
04-Apr-19	33.49
04-Apr-19	43.71
04-Apr-19	59.38
04-Apr-19	64.6
04-Apr-19	72.85
04-Apr-19	83.03
04-Apr-19	210.37
04-Apr-19	318.32
07-Apr-19	8.03
07-Apr-19	27.04
07-Apr-19	28.6
07-Apr-19	32.43
07-Apr-19	56.29
07-Apr-19	57.26
07-Apr-19	81
07-Apr-19	159.54
07-Apr-19	274.08
09-Apr-19	6.27
09-Apr-19	13.43
09-Apr-19	17.72
09-Apr-19	22.97
09-Apr-19	27.91
05-Jun-19	41.62
05-Jun-19	57.16
05-Jun-19	70.07
05-Jun-19	70.27
05-Jun-19	181.96
05-Jun-19	279.42
08-Jun-19	6.14
08-Jun-19	11.13
08-Jun-19	18.95
08-Jun-19	25.33
08-Jun-19	26.3
08-Jun-19	43.86
08-Jun-19	44.01
08-Jun-19	67.53
08-Jun-19	143.08
08-Jun-19	252.6
09-Jun-19	6.02
09-Jun-19	17.32
09-Jun-19	22.92
09-Jun-19	27.16
09-Jun-19	46.59
09-Jun-19	46.9
09-Jun-19	69.85
09-Jun-19	132.96
09-Jun-19	257.75
11-Jun-19	7.99
11-Jun-19	13.48
11-Jun-19	29.18
11-Jun-19	30.57
11-Jun-19	42.84
11-Jun-19	68.61
11-Jun-19	70.06
11-Jun-19	75.77
11-Jun-19	151.02
11-Jun-19	312.5
12-Jun-19	9.16
12-Jun-19	13.7
12-Jun-19	34.34
12-Jun-19	37.2
12-Jun-19	51.64
12-Jun-19	77.87
12-Jun-19	81.8
12-Jun-19	94.24
12-Jun-19	219.12
12-Jun-19	323.04
01-Jul-19	12.28
01-Jul-19	40.19
01-Jul-19	63.77
01-Jul-19	72.99
01-Jul-19	80.4
01-Jul-19	85.15
01-Jul-19	89.42
01-Jul-19	178.19
01-Jul-19	324.6
02-Jul-19	13.91
02-Jul-19	15.87
02-Jul-19	38.93
02-Jul-19	61.78
02-Jul-19	73.17
02-Jul-19	87.99
02-Jul-19	92.44
02-Jul-19	94.37
02-Jul-19	250.75
02-Jul-19	336.65
03-Jul-19	11.99
03-Jul-19	14.51
03-Jul-19	37.23
03-Jul-19	50.5
03-Jul-19	68.12
03-Jul-19	75.23
03-Jul-19	85.03
03-Jul-19	90.95
03-Jul-19	246.69
03-Jul-19	326.53
05-Jul-19	9.42
05-Jul-19	28.52
05-Jul-19	32.03
05-Jul-19	40.4
05-Jul-19	56.25
05-Jul-19	68.62
05-Jul-19	69.51
05-Jul-19	173.05
05-Jul-19	277.6
08-Jul-19	6.01
08-Jul-19	10.99
08-Sep-19	25.39
08-Sep-19	45.79
08-Sep-19	46.09
08-Sep-19	62.76
08-Sep-19	133.9
08-Sep-19	236.45
10-Sep-19	7.8
10-Sep-19	26.76
10-Sep-19	27.26
10-Sep-19	32.56
10-Sep-19	57.34
10-Sep-19	67.94
10-Sep-19	73.79
10-Sep-19	141.04
10-Sep-19	274.14
12-Sep-19	8.86
12-Sep-19	13.22
12-Sep-19	35.44
12-Sep-19	35.48
12-Sep-19	49.87
12-Sep-19	75.61
12-Sep-19	81.14
12-Sep-19	92.87
12-Sep-19	208.17
12-Sep-19	326.34
01-Oct-19	12.93
01-Oct-19	17.42
01-Oct-19	39.58
01-Oct-19	62.56
01-Oct-19	72.58
01-Oct-19	80.01
01-Oct-19	84.81
01-Oct-19	90
01-Oct-19	176.95
01-Oct-19	328.43
04-Oct-19	9.44
04-Oct-19	11.8
04-Oct-19	31.5
04-Oct-19	35.76
04-Oct-19	50.47
04-Oct-19	59.91
04-Oct-19	74.59
04-Oct-19	76.75
04-Oct-19	198.98
04-Oct-19	314.7
05-Oct-19	8.84
05-Oct-19	12.48
05-Oct-19	25.73
05-Oct-19	27.72
05-Oct-19	40.25
05-Oct-19	54.08
05-Oct-19	68.01
05-Oct-19	70.02
05-Oct-19	148.74
05-Oct-19	266.09
06-Oct-19	7.5
06-Oct-19	26.4
06-Oct-19	30.65
06-Oct-19	36.51
06-Oct-19	48.09
06-Oct-19	54.61
06-Oct-19	77.25
06-Oct-19	174.94
06-Oct-19	263.25
07-Oct-19	7.69
07-Oct-19	25.05
07-Oct-19	28.17
07-Oct-19	33.54
07-Oct-19	52.18
07-Oct-19	52.33
07-Oct-19	78.05
07-Oct-19	152.47
07-Oct-19	268.93
10-Oct-19	8.01
10-Oct-19	14
10-Oct-19	27.73
10-Oct-19	28.33
10-Oct-19	32.69
10-Oct-19	58.04
10-Oct-19	69.77
10-Oct-19	75.22
10-Oct-19	143.02
10-Oct-19	277.39
12-Oct-19	8.98
12-Oct-19	13.77
12-Oct-19	35.11
12-Oct-19	37.01
12-Oct-19	52.36
12-Oct-19	77.16
12-Oct-19	82.2
12-Oct-19	92.43
12-Oct-19	218.55
12-Oct-19	327.7
01-Nov-19	12.78
01-Nov-19	16.47
01-Nov-19	39.08
01-Nov-19	62.51
01-Nov-19	71.14
01-Nov-19	79.44
01-Nov-19	83.89
01-Nov-19	88.79
01-Nov-19	176.64
01-Nov-19	321.32
02-Nov-19	13.5
02-Nov-19	15.55
02-Nov-19	38.49
02-Nov-19	55.77
02-Nov-19	72.06
02-Nov-19	87.56
02-Nov-19	91.57
02-Nov-19	93.23
02-Nov-19	235.37
02-Nov-19	329.97
03-Nov-19	12.67
03-Nov-19	36.85
09-Dec-19	266.84
11-Dec-19	8.15
11-Dec-19	13.5
11-Dec-19	29.04
11-Dec-19	30.17
11-Dec-19	45.92
11-Dec-19	69
11-Dec-19	73.41
11-Dec-19	81.87
11-Dec-19	152.1
11-Dec-19	322.03
12-Dec-19	8.59
12-Dec-19	13.65
12-Dec-19	34.94
12-Dec-19	36.78
12-Dec-19	52.32
12-Dec-19	75.19
12-Dec-19	81.05
12-Dec-19	90.5
12-Dec-19	224.37
12-Dec-19	327.73
01-Jan-20	7.98
01-Jan-20	13.99
03-Mar-20	65.17
03-Mar-20	75.68
03-Mar-20	92.05
03-Mar-20	198.95
03-Mar-20	324.5
04-Mar-20	7.52
04-Mar-20	10.66
